"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
167745, 06MAY21, 06MAY21, S1,99999,  E,5,  , ST,   , ISM  ,  ROP,0,0.3,30,15, FUEL      , FUEL INDUCTIO,"        "
,,,,,,,,,,,,,,,,,,
167745, 06MAY21, 06MAY21, S1,99999,  G,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
168575, 07MAY21, 13MAY21, S1,99999,  D,4,  , ST,   , WS4  ,  ROP,0,0,250,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
168725, 11MAY21, 11MAY21, S1,99999,  D,5, *, ST,   , ISM  ,  ROP,0,-1,0,-50, RECALL    , NO PARTS AVAI,"        "
,,,,,,,,,,,,,,,,,,
169041, 12MAY21, 12MAY21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , RECALL PERFOR,"        "
,,,,,,,,,,,,,,,,,,
169041, 12MAY21, 12MAY21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169146, 25MAY21, 26MAY21, S1,99999,  F,6,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
169146, 25MAY21, 26MAY21, S1,99999,  G,8,  , ST,   , CSR  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  E,6,  , ST,   , ISM  ,  ROP,0,0,0,0, 4WA       , PERFORM 4 WHE,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  F,7,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  G,8,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  H,9,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  I,10,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  J,11,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169215, 20MAY21, 20MAY21, S1,99999,  L,13,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
169407, 05MAY21, 06MAY21, S1,99999,  C,3,  , ST,   , WS4  ,  ROP,0,0,250,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
169817, 06MAY21, 07MAY21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169818, 13MAY21, 14MAY21, S1,99999,  H,17,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
169818, 14MAY21, 14MAY21, S1,99999,  K,12, *, ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169821, 06MAY21, 06MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
169826, 07MAY21, 07MAY21, S1,99999,  L,13,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169841, 26MAY21, 26MAY21, S1,99999,  C,4, *, ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , RECALL PERFOR,"        "
,,,,,,,,,,,,,,,,,,
169841, 26MAY21, 26MAY21, S1,99999,  D,5, *, ST,   , ISM  ,  ROP,0,0,0,0, RECALL    , RECALL PERFOR,"        "
,,,,,,,,,,,,,,,,,,
169841, 26MAY21, 26MAY21, S1,99999,  K,13,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169843, 07MAY21, 07MAY21, S1,99999,  G,8,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169852, 07MAY21, 07MAY21, S1,99999,  G,9, *, ST,   , ISD  ,  ROP,0,0,0,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169855, 10MAY21, 10MAY21, S1,99999,  F,7,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169855, 10MAY21, 10MAY21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169867, 07MAY21, 07MAY21, S1,99999,  K,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169882, 27MAY21, 29MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169900, 11MAY21, 11MAY21, S1,99999,  H,9,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169903, 11MAY21, 11MAY21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169905, 07MAY21, 07MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
169905, 07MAY21, 07MAY21, S1,99999,  D,5,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
169905, 07MAY21, 07MAY21, S1,99999,  G,8,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
169923, 07MAY21, 13MAY21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169928, 06MAY21, 06MAY21, S1,99999,  G,9,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169930, 07MAY21, 07MAY21, S1,99999,  H,9,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169931, 07MAY21, 07MAY21, S1,99999,  K,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
169980, 20MAY21,        , S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, SMOG      , SMOG INSPECTI,"        "
,,,,,,,,,,,,,,,,,,
170026, 06MAY21, 29MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170062, 05MAY21, 05MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170110, 07MAY21, 07MAY21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170112, 21MAY21, 24MAY21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170163, 03MAY21, 11MAY21, S1,99999,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
