"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
162308, 19FEB21, 26FEB21, S1,99999,  H,9,  , ST,   , ISM  ,  ROP,0,0,0,0, BRAKES    , DECLINED REPA,"        "
,,,,,,,,,,,,,,,,,,
162308, 19FEB21, 26FEB21, S1,99999,  I,10,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , DECLINED REPA,"        "
,,,,,,,,,,,,,,,,,,
162308, 19FEB21, 26FEB21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
163279, 01MAR21, 04MAR21, S1,99999,  B,2,  , ST,   , CSR  ,  ROP,0,0,0,0, MISC      , CUSTOMER JUST,"        "
,,,,,,,,,,,,,,,,,,
163279, 01MAR21, 04MAR21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
163279, 01MAR21, 04MAR21, S1,99999,  D,5,  , ST,   , CSR  ,  ROP,0,0,0,0, MOBILE    , COMPLIMENTARY,"        "
,,,,,,,,,,,,,,,,,,
163304, 26FEB21, 26FEB21, S1,99999,  E,6,  , ST,   , ISM  ,  ROP,0,0,212.31,0, UCD       , PERFORM ASSUR,"        "
,,,,,,,,,,,,,,,,,,
163751, 19FEB21, 26FEB21, S1,99999,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
163895, 16FEB21, 16FEB21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,0,0, SUBLET    , SUBLET WORK  ,"        "
,,,,,,,,,,,,,,,,,,
